States/UTs, 1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Andhra Pradesh,-1.37,12.16,4.58,8.16,4.22,2.73,9.35,8.15,9.57,11.18,12.02,6.88,4.53,11.64,7.51,5.09,7,8.5,11
Arunachal Pradesh ,3.12,3.13,4.01,7.07,15.7,-4.31,10.94,16.46,2.75,5.25,12.06,8.73,9.23,3.78,4.49,4.65,9.2,16.6,-0.6
Assam,0.99,-0.22,3.18,2.53,2.6,7.07,6.02,3.74,3.4,4.65,4.82,5.72,9,7.26,5.33,6.06,4.9,6.9,15.7
Bihar ,-3.85,7.59,3.68,16.04,-4.73,11.82,-5.15,12.17,-1.69,16.18,5.55,14.54,5.35,15.03,10.29,10.73,5,3.7,5.8
Chattisgarh ,3.11,5.34,0.24,-9.85,6.79,2.54,8.03,5.49,3.23,18.6,8.61,8.39,3.42,10.6,6.98,5.42,10,1.8,6
Goa,2.82,22.61,2.11,-3.74,4.5,7.08,7.49,10.19,7.54,10.02,5.54,10.02,10.2,16.89,20.21,4.1,-11.9,27.1,14.9
Gujarat,2.11,7.18,1.02,-4.89,8.41,8.14,14.77,8.88,14.95,8.39,11,6.78,11.25,10.01,7.66,7.96,7.6,10.5,10.2
Haryana,1.43,5.56,7.65,8.16,7.81,6.52,9.86,8.64,9.2,11.22,8.45,8.17,11.72,7.41,8.03,5.55,8.2,5.7,9
Himachal Pradesh,6.38,7.21,6.61,6.32,5.21,5.06,8.08,7.56,8.43,9.09,8.55,7.42,8.09,8.79,7.31,6.14,7.1,7.5,8.1
Jammu & Kashmir,5.66,5.19,4.48,3.53,1.96,5.13,5.17,5.23,5.78,5.95,6.4,6.46,4.5,5.65,7.95,4.49,5.4,-3.2,17.7
Jharkhand ,26.3,5.71,-2.75,1.42,2.8,4.55,3.46,15.21,-3.2,2.38,20.52,-1.75,10.14,15.86,4.49,7.43,1.6,12.5,-6.3
Karnataka,6.91,12.72,5.33,3.53,5.17,7.3,6.25,9.85,10.51,9.98,12.6,7.11,1.3,10.15,3.69,5.47,9.6,6.7,8.2
Kerala ,2.89,7.06,7.54,-6.93,7.12,-3.91,11.42,9.97,10.09,7.9,8.77,5.56,9.17,6.92,7.96,8.24,3.9,4.3,6.8
Madhya Pradesh,5,6.56,10.5,-5.17,13.2,-0.06,16.55,3.08,5.31,9.23,4.69,12.47,9.56,6.31,9.69,9.89,3.8,5.2,8.9
Maharashtra,5.56,3.36,9.74,-2.1,4.05,6.81,8,8.71,13.35,13.53,11.26,2.58,9.3,11.26,4.82,6.18,6.9,6.3,7.6
Manipur ,8.77,2.16,12,-6.35,6.81,-0.46,10.84,9.7,6.35,2,5.94,6.48,6.99,-0.58,9.79,3.95,8.6,8,7.7
Meghalaya ,6.13,9.87,7.79,5.45,6.89,3.79,6.78,7.11,7.91,7.74,4.51,12.94,6.55,8.57,12.58,2.18,1.8,-2.7,2.4
Mizoram,NA,NA,NA,4.97,6.52,10.39,3.19,4.15,6.97,4.78,10.98,13.34,12.38,17.18,-2.55,7.23,16.2,24.6,9.4
Nagaland ,7.82,-4.01,0.8,16.6,11.45,9.45,5.02,6.65,10.22,7.8,7.31,6.34,6.9,9.35,8.32,6.45,7.2,4.4,1.8
Orissa ,13.14,2.45,5.17,-1.66,6.29,-0.65,15.15,12.61,5.68,12.85,10.94,7.75,4.55,8.01,3.78,8.09,9.3,1.8,8.2
Punjab,3,5.59,5.63,3.93,1.92,2.85,6.07,4.95,5.9,10.18,9.05,5.85,6.29,6.52,6.52,4.63,6.6,4.2,5.7
Rajasthan ,11.32,4.02,2.11,-2.01,10.87,-9.9,28.67,-1.85,6.68,11.67,5.14,9.09,6.7,14.41,5.17,4.52,7,7.3,7
Sikkim,7.14,7.06,3.48,7.59,7.88,7.31,7.89,7.72,9.78,6.02,7.61,16.39,73.61,8.7,10.77,7.62,6.1,7.9,9.9
Tamil Nadu,8.2,4.73,6.11,5.87,-1.56,1.75,5.99,11.45,13.96,15.21,6.13,5.45,10.83,13.12,7.39,3.39,7.6,4.9,8.2
Tripura,10.27,9.91,7.11,5.88,14.07,6.41,5.88,8.14,5.82,8.28,7.7,9.44,10.65,8.12,8.69,8.7,9.3,8.7,12.1
Uttar Pradesh,-0.09,2.75,5.49,2.19,2.17,3.72,5.27,5.4,6.51,8.07,7.32,6.99,6.58,7.86,5.57,5.92,5.8,4,8.8
Uttarakhand,1.8,1.66,0.82,12.04,5.53,9.92,7.61,12.99,14.34,13.59,18.12,12.65,18.13,10.02,9.36,5.61,8.5,5.3,7.5
West Bengal,8.25,6.36,6.88,3.84,7.32,3.78,6.2,6.89,6.29,7.79,7.76,4.9,8.03,5.78,4.72,6.72,3,2.8,6.1
