Sl. No.,India/States/UTs,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,CAGR
1,Andhra Pradesh,60.47,61.0951048,61.72667158,62.36476714,63.00945897,63.66081526,64.31890491,64.98379752,65.65556341,66.33427364,67.02,67.71281501,68.41279195,69.12000485,69.83452853,1.03%
2,Arunachal Pradesh,54.34,55.35440186,56.38774025,57.44036868,58.51264723,59.60494275,60.71762889,61.8510863,63.00570273,64.18187318,65.38,66.60049307,67.84376992,69.11025587,70.40038418,1.87%
3,Assam,63.25,64.09175754,64.94471753,65.80902908,66.68484325,67.57231312,68.47159381,69.3828425,70.30621848,71.24188313,72.19,73.15073481,74.12425547,75.11073216,76.1103373,1.33%
4,Bihar,47,48.30442532,49.64505331,51.02288872,52.43896421,53.89434108,55.39011008,56.92739225,58.50733973,60.13113666,61.8,63.51518053,65.27796371,67.0896707,68.95165932,2.78%
5,Chhattisgarh,64.66,65.20115747,65.74684404,66.29709761,66.8519564,67.41145897,67.97564416,68.54455118,69.11821953,69.69668908,70.28,70.86819281,71.46130837,72.05938787,72.66247288,0.84%
6,Goa,82.01,82.65563995,83.30636282,83.96220865,84.62321774,85.28943076,85.96088868,86.63763278,87.31970468,88.00714633,88.7,89.3983083,90.10211416,90.81146088,91.52639207,0.79%
7,Gujarat,69.14,69.98139548,70.83303028,71.69502899,72.56751776,73.45062423,74.34447762,75.24920871,76.16494987,77.09183509,78.03,78.97958185,79.94071959,80.91355384,81.89822694,1.22%
8,Haryana,67.91,68.63787102,69.37354349,70.11710102,70.86862812,71.62821022,72.39593366,73.17188568,73.9561545,74.74882924,75.55,76.35975785,77.17819482,78.00540394,78.84147923,1.07%
9,Himachal Pradesh,76.48,77.08965907,77.70417803,78.32359562,78.94795089,79.57728319,80.21163221,80.85103792,81.49554066,82.14518103,82.8,83.46003885,84.12533919,84.79594296,85.47189244,0.80%
10,Jammu and Kashmir,55.52,56.58685802,57.67421651,58.7824694,59.91201819,61.0632721,62.23664821,63.43257162,64.65147557,65.89380168,67.16,68.45052926,69.765857,71.10645974,72.47282316,1.92%
11,Jharkhand,53.56,54.7242552,55.91381829,57.12923938,58.37108057,59.63991616,60.93633294,62.26093045,63.61432127,64.99713129,66.41,67.85358081,69.32854131,70.83556362,72.37534468,2.17%
12,Karnataka,66.64,67.46454233,68.2992868,69.14435963,69.99988861,70.86600313,71.74283416,72.63051429,73.52917776,74.43896047,75.36,76.29243563,77.23640836,78.19206095,79.1595379,1.24%
13,Kerala,90.86,91.16922113,91.47949463,91.79082407,92.10321304,92.41666516,92.73118405,93.04677332,93.36343664,93.68117764,94,94.3199074,94.64090353,94.9629921,95.28617682,0.34%
14,Madhya Pradesh,63.74,64.27716427,64.81885545,65.36511169,65.91597147,66.47147358,67.03165715,67.59656162,68.16622678,68.74069275,69.32,69.90418932,70.49330185,71.08737908,71.68646285,0.84%
15,Maharashtra,76.88,77.40929701,77.94223809,78.47884831,79.01915294,79.56317741,80.11094734,80.66248851,81.21782689,81.77698861,82.34,82.90688757,83.47767799,84.05239815,84.63107509,0.69%
16,Manipur,69.93,70.60125053,71.27894433,71.96314323,72.65390969,73.35130674,74.05539802,74.76624781,75.48392096,76.20848299,76.94,77.67853877,78.42416669,79.17695181,79.93696284,0.96%
17,Meghalaya,62.56,63.65636979,64.77195356,65.90708804,67.06211586,68.23738565,69.43325215,70.65007632,71.88822544,73.14807325,74.43,75.73439264,77.06164488,78.41215734,79.78633765,1.75%
18,Mizoram,88.8,89.04981365,89.30033008,89.55155126,89.80347919,90.05611584,90.30946321,90.56352331,90.81829813,91.07378969,91.33,91.58693109,91.84458498,92.1029637,92.3620693,0.28%
19,Nagaland,66.59,67.78477078,69.00097838,70.2390074,71.49924939,72.78210288,74.08797358,75.41727447,76.77042594,78.14785591,79.55,80.97730163,82.43021219,83.90919115,85.41470625,1.79%
20,Odisha,63.08,63.99667245,64.9266659,65.87017392,66.82739291,67.79852211,68.78376367,69.78332266,70.79740714,71.82622821,72.87,73.92893978,75.00326798,76.0932082,77.19898733,1.45%
21,Punjab,69.65,70.24555386,70.84620011,71.45198228,72.06294429,72.67913043,73.30058537,73.92735417,74.55948226,75.19701546,75.84,76.48848248,77.14250992,77.80212973,78.46738973,0.86%
22,Rajasthan,60.41,60.95715198,61.50925969,62.06636801,62.62852223,63.19576805,63.7681516,64.3457194,64.9285184,65.516596,66.11,66.70877864,67.3129806,67.92265501,68.53785143,0.91%
23,Sikkim,68.81,69.97767546,71.16516586,72.37280745,73.60094219,74.84991784,76.12008805,77.41181249,78.72545693,80.06139334,81.42,82.80166162,84.20676943,85.6357213,87.08892186,1.70%
24,Tamil Nadu,73.45,74.08843984,74.73242911,75.38201604,76.03724929,76.69817794,77.3648515,78.03731989,78.7156335,79.39984311,80.09,80.78615585,81.4883628,82.19667345,82.91114086,0.87%
25,Tripura,73.19,74.48488999,75.8026894,77.14380353,78.50864489,79.89763326,81.31119584,82.74976742,84.21379045,85.70371522,87.22,88.76311115,90.33352328,91.93171942,93.55819111,1.77%
26,Uttar Pradesh,56.27,57.31855834,58.38665596,59.47465694,60.58293218,61.71185948,62.86182367,64.03321677,65.22643809,66.44189439,67.68,68.94117698,70.22585525,71.53447275,72.86747556,1.86%
27,Uttrakhand,71.62,72.30936173,73.00535875,73.70805493,74.41751475,75.13380331,75.85698634,76.5871302,77.32430189,78.06856906,78.82,79.57866366,80.34462967,81.1179683,81.89875053,0.96%
28,West Bengal,68.64,69.36641142,70.1005104,70.84237828,71.59209729,72.34975052,73.11542192,73.88919637,74.6711596,75.46139828,76.26,77.06705325,77.88264748,78.70687308,79.53982138,1.06%
29,Andaman and Nicobar Islands,81.3,81.81789889,82.33909691,82.86361507,83.39147453,83.92269657,84.45730262,84.99531422,85.53675307,86.08164101,86.63,87.18185216,87.73721974,88.29612514,88.85859088,0.64%
30,Chandigarh,81.94,82.34200754,82.74598738,83.1519492,83.55990271,83.96985769,84.38182396,84.79581138,85.21182988,85.62988941,86.05,86.4721717,86.89641462,87.32273893,87.75115484,0.49%
31,Dadra and Nagar Haveli,57.63,59.26551278,60.94744066,62.67710087,64.45584805,66.28507524,68.16621506,70.10074076,72.0901674,74.13605306,76.24,78.40365599,80.62871553,82.91692123,85.27006516,2.84%
32,Daman and Diu,78.18,79.02925993,79.88774526,80.75555622,81.6327941,82.51956132,83.41596138,84.32209892,85.23807973,86.16401073,87.1,88.04615681,89.00259161,89.96941605,90.94674298,1.09%
33,Delhi,81.67,82.11302745,82.55845814,83.00630512,83.45658149,83.90930044,84.3644752,84.82211911,85.28224556,85.74486801,86.21,86.67765515,87.14784714,87.62058975,88.09589679,0.54%
34,Lakshadweep,86.66,87.16552139,87.67399169,88.18542809,88.69984789,89.21726851,89.73770744,90.26118229,90.78771078,91.31731071,91.85,92.38579668,92.92471886,93.46678479,94.0120128,0.58%
35,Puducherry,81.24,81.68963455,82.14175768,82.59638314,83.05352479,83.51319656,83.97541245,84.44018654,84.90753299,85.37746604,85.85,86.32514927,86.80292832,87.2833517,87.76643406,0.55%
